Pair,Avg p-value,Min p-value,Max p-value,Significant Windows (%),Total Windows
SOLUSDT->ADAUSDT,0.4424491317727674,4.998594455907224e-06,0.9845948394890336,10.17897091722595,894
ADAUSDT->SOLUSDT,0.5248592000704659,0.004615062134557424,0.9939061210326567,2.5727069351230423,894
SOLUSDT->BTCUSDT,0.48352446615844985,0.007749044470700683,0.996607741594075,12.192393736017896,894
BTCUSDT->SOLUSDT,0.4931777374087986,0.01198182889169963,0.9997410254504254,4.921700223713646,894
SOLUSDT->DOGEUSDT,0.34137748662235823,0.004686846557740654,0.9649393939429491,7.718120805369128,894
DOGEUSDT->SOLUSDT,0.49035538585197463,0.044190469938060084,0.9940377402883632,0.6711409395973155,894
SOLUSDT->XRPUSDT,0.43086383820846286,0.004651696583697018,0.9954839421479847,4.809843400447427,894
XRPUSDT->SOLUSDT,0.5666405865534678,0.03731795587873066,0.9846935833831019,0.33557046979865773,894
SOLUSDT->BNBUSDT,0.5008738479005237,0.00017651230956738928,0.9992428304100079,9.284116331096197,894
BNBUSDT->SOLUSDT,0.5322420014355318,0.01347939036507595,0.9935939188123892,3.803131991051454,894
SOLUSDT->ETHUSDT,0.4487204605722878,0.0001600152847186509,0.9977151386879257,15.548098434004473,894
ETHUSDT->SOLUSDT,0.4491144335493004,0.01756934389253728,0.9978166477156181,1.1185682326621924,894
ADAUSDT->BTCUSDT,0.5714767558418244,0.011113436529865961,0.9990710086291823,1.45413870246085,894
BTCUSDT->ADAUSDT,0.4166056920815197,0.013706920639341869,0.9851640829707385,5.8165548098434,894
ADAUSDT->DOGEUSDT,0.44093701797460244,0.0003795547923788334,0.9959430038717905,8.724832214765101,894
DOGEUSDT->ADAUSDT,0.5504453600061121,0.006742279848505506,0.9975594350258252,4.026845637583892,894
ADAUSDT->XRPUSDT,0.45649001575423337,0.0025049429968895254,0.9934711163269778,14.429530201342283,894
XRPUSDT->ADAUSDT,0.4547676537078999,0.009662599681486417,0.9967640354677189,9.843400447427292,894
ADAUSDT->BNBUSDT,0.46771544793387987,2.7637714698380833e-05,0.9997962973647722,12.863534675615213,894
BNBUSDT->ADAUSDT,0.48505020437513635,0.0011826590954980842,0.9991838975220717,13.982102908277405,894
ADAUSDT->ETHUSDT,0.5300670772879791,1.886511156046211e-05,0.9935387653359742,14.429530201342283,894
ETHUSDT->ADAUSDT,0.47596128481219024,0.008502934703516929,0.9815425401542236,5.1454138702460845,894
BTCUSDT->DOGEUSDT,0.533156517622825,0.007806369774961519,0.9985211367395237,3.0201342281879198,894
DOGEUSDT->BTCUSDT,0.4998660936252362,0.0026605465548094065,0.9999221647790643,6.152125279642058,894
BTCUSDT->XRPUSDT,0.41221392822782466,1.710990860881445e-05,0.9922356283212386,14.876957494407158,894
XRPUSDT->BTCUSDT,0.3003892853864131,0.00018236272939142761,0.97215381220852,20.917225950782996,894
BTCUSDT->BNBUSDT,0.48189146553761425,0.004114495820990549,0.9832681784066044,11.74496644295302,894
BNBUSDT->BTCUSDT,0.4534534611265284,0.002675390279634926,0.9928956456860738,6.823266219239374,894
BTCUSDT->ETHUSDT,0.38754935520200934,0.013545600694861104,0.9997454622659655,4.586129753914989,894
ETHUSDT->BTCUSDT,0.450733761726554,0.010722036170344063,0.987992838016494,4.697986577181208,894
DOGEUSDT->XRPUSDT,0.42028025704851746,0.00017714502284715827,0.9986247166309077,23.825503355704697,894
XRPUSDT->DOGEUSDT,0.5540614447337416,0.03677457225258296,0.9959231926177092,0.33557046979865773,894
DOGEUSDT->BNBUSDT,0.47489131391648687,0.014269050642359726,0.9850501465539157,1.1185682326621924,894
BNBUSDT->DOGEUSDT,0.4376792682601,0.02314458439156286,0.9952041285314904,1.006711409395973,894
DOGEUSDT->ETHUSDT,0.6237796327182324,0.08562254410162318,0.9962137303803249,0.0,894
ETHUSDT->DOGEUSDT,0.4912930222471166,0.02545168655494512,0.997937435811278,1.1185682326621924,894
XRPUSDT->BNBUSDT,0.38154576512349747,0.0014819614550543037,0.9836459172271453,7.158836689038031,894
BNBUSDT->XRPUSDT,0.43944645722649395,0.010403965937209492,0.9907129072934048,5.369127516778524,894
XRPUSDT->ETHUSDT,0.4946858549607805,0.008935183878473474,0.9988994735784072,7.38255033557047,894
ETHUSDT->XRPUSDT,0.4563422002558017,0.0029399083563383943,0.9974449855244107,10.51454138702461,894
BNBUSDT->ETHUSDT,0.5487734172007949,0.036306340201612164,0.9990046939480683,0.11185682326621924,894
ETHUSDT->BNBUSDT,0.40572008358738604,0.004471784649077937,0.9999859715379711,10.17897091722595,894
